tract_id,mhi,year_usd
22049970100,35000,2012
22049970200,37000,2012
22049970300,47000,2012
22049970400,37000,2012
22049970500,46000,2012
22051020101,52000,2012
22051020102,60000,2012
22051020201,54000,2012
22051020202,36000,2012
22051020203,87000,2012
22051020301,86000,2012
22051020302,75000,2012
22051020303,62000,2012
22051020400,92000,2012
22051020502,48000,2012
22051020505,42000,2012
22051020506,48000,2012
22051020507,50000,2012
22051020508,67000,2012
22051020511,54000,2012
22051020512,52000,2012
22051020513,50000,2012
22051020514,100000,2012
22051020515,62000,2012
22051020516,41000,2012
22051020517,83000,2012
22051020600,31000,2012
22051020700,31000,2012
22051021000,44000,2012
22051021100,53000,2012
22051021200,28000,2012
22051021300,66000,2012
22051021400,75000,2012
22051021500,27000,2012
22051021600,36000,2012
22051021700,47000,2012
22051021801,52000,2012
22051021803,32000,2012
22051021804,36000,2012
22051021900,37000,2012
22051022001,35000,2012
22051022002,60000,2012
22051022101,80000,2012
22051022102,33000,2012
22051022200,62000,2012
22051022301,56000,2012
22051022302,36000,2012
22051022303,32000,2012
22051022400,67000,2012
22051022500,52000,2012
22051022600,106000,2012
22051022700,71000,2012
22051022800,43000,2012
22051022900,42000,2012
22051023001,69000,2012
22051023002,55000,2012
22051023003,66000,2012
22051023100,37000,2012
22051023200,44000,2012
22051023300,45000,2012
22051023400,66000,2012
22051023500,58000,2012
22051023600,52000,2012
22051023700,26000,2012
22051023800,38000,2012
22051023901,76000,2012
22051023902,85000,2012
22051023903,75000,2012
22051023904,54000,2012
22051024001,64000,2012
22051024002,80000,2012
22051024100,53000,2012
22051024201,47000,2012
22051024202,51000,2012
22051024300,45000,2012
22051024400,40000,2012
22051024500,39000,2012
22051024600,35000,2012
22051024700,37000,2012
22051024800,80000,2012
22051024900,38000,2012
22051025001,55000,2012
22051025002,46000,2012
22051025003,56000,2012
22051025102,76000,2012
22051025103,47000,2012
22051025104,52000,2012
22051025201,24000,2012
22051025202,36000,2012
22051025300,36000,2012
22051025400,45000,2012
22051025500,26000,2012
22051025600,37000,2012
22051025700,23000,2012
22051025800,39000,2012
22051025900,26000,2012
22051026000,44000,2012
22051026100,29000,2012
22051026200,30000,2012
22051026300,43000,2012
22051026400,52000,2012
22051026500,28000,2012
22051026600,37000,2012
22051026700,29000,2012
22051026800,30000,2012
22051026900,23000,2012
22051027000,36000,2012
22051027100,44000,2012
22051027200,32000,2012
22051027501,49000,2012
22051027502,31000,2012
