"point_id","state_fips_2010","county_fips_2010","tract_2010"
309,"22","109","1400"
310,"22","109","1400"
311,"22","109","1400"
312,"22","109","1400"
313,"22","109","1400"
314,"22","109","1400"
315,"22","109","1400"
316,"22","109","1400"
317,"22","109","1400"
318,"22","109","1400"
319,"22","109","1400"
320,"22","109","1400"
321,"22","57","21200"
322,"22","57","21200"
323,"22","57","21100"
324,"22","57","21100"
325,"22","57","21100"
326,"22","75","50400"
327,"22","109","1400"
328,"22","109","1400"
329,"22","109","1400"
330,"22","109","1400"
331,"22","109","1400"
332,"22","75","50400"
333,"22","109","1400"
334,"22","109","1400"
335,"22","109","1400"
336,"22","75","50400"
337,"22","109","1500"
338,"22","109","1400"
339,"22","109","1400"
340,"22","109","1400"
341,"22","75","50400"
342,"22","109","1500"
343,"22","109","1500"
344,"22","109","1500"
345,"22","109","1400"
346,"22","109","1400"
347,"22","75","50400"
348,"22","75","50400"
349,"22","75","50100"
350,"22","109","1500"
351,"22","109","1500"
352,"22","109","1500"
353,"22","109","1500"
354,"22","109","1500"
355,"22","109","1400"
356,"22","109","1400"
357,"22","109","1500"
358,"22","75","50400"
359,"22","75","50400"
360,"22","109","1500"
361,"22","109","1500"
362,"22","109","1500"
363,"22","109","1500"
364,"22","109","1500"
365,"22","109","1500"
366,"22","109","1400"
367,"22","109","1500"
368,"22","109","1500"
369,"22","109","1500"
370,"22","51","27902"
371,"22","51","27902"
372,"22","75","50400"
